FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Airline,FlightDuration,AvgTicketPrice,Aircraft,PassengerCount
FL-285166,HKG,LHR,2023-03-18 18:53:00,2023-03-18 23:01:00,WestJet,4:08:00,2408,Airbus A340,247
FL-437533,MIA,AMS,2023-01-12 01:03:00,2023-01-12 05:01:00,Qatar Airways,3:58:00,254,Airbus A330,164
FL-362076,ICN,YOW,2023-09-01 03:48:00,2023-09-01 10:36:00,Cathay Pacific,6:48:00,2325,Embraer E190,100
FL-110274,LAX,FRA,2023-01-27 14:07:00,2023-01-27 21:08:00,KLM,7:01:00,1663,Boeing 787,156
FL-854622,AMS,LAX,2023-04-04 15:19:00,2023-04-04 21:41:00,United Airlines,6:22:00,2235,Airbus A320,136
FL-665381,MEX,IST,2023-10-17 08:41:00,2023-10-17 14:31:00,WestJet,5:50:00,2637,Boeing 777,120
FL-203154,MEL,YYZ,2023-10-02 18:45:00,2023-10-02 22:24:00,WestJet,3:39:00,1209,Boeing 737 MAX,117
FL-591090,MIA,SIN,2023-09-18 06:12:00,2023-09-18 11:03:00,Swiss International Air Lines,4:51:00,456,Boeing 737 MAX,217
FL-628557,DXB,YHZ,2023-03-26 04:16:00,2023-03-26 11:03:00,Aeroflot,6:47:00,623,Embraer E190,229
FL-185162,AMS,YHZ,2023-08-26 09:54:00,2023-08-26 11:34:00,American Airlines,1:40:00,1225,Airbus A330,238
FL-208840,FCO,JFK,2023-04-20 21:18:00,2023-04-21 04:49:00,Qatar Airways,7:31:00,1052,Bombardier CRJ900,110
FL-465380,YUL,SFO,2023-12-15 01:45:00,2023-12-15 07:31:00,British Airways,5:46:00,2900,Boeing 767,235
FL-303331,YYZ,ICN,2023-02-10 15:32:00,2023-02-10 21:13:00,American Airlines,5:41:00,332,Airbus A380,130
FL-789392,HND,FRA,2023-11-23 14:40:00,2023-11-23 17:54:00,Qatar Airways,3:14:00,1369,Boeing 767,229
FL-772549,FCO,SFO,2023-08-15 02:02:00,2023-08-15 03:09:00,Asiana Airlines,1:07:00,2764,Boeing 737,177
FL-707754,MEL,AMS,2023-01-03 22:18:00,2023-01-04 06:12:00,Finnair,7:54:00,781,Boeing 747,141
FL-766642,HND,DEN,2023-06-22 16:16:00,2023-06-22 17:16:00,Iberia,1:00:00,2140,Airbus A380,146
FL-827175,YYZ,ATL,2023-05-20 10:40:00,2023-05-20 19:24:00,Qatar Airways,8:44:00,1797,Bombardier CRJ900,240
FL-246457,ICN,SFO,2023-05-13 13:02:00,2023-05-13 21:34:00,Aeroflot,8:32:00,1604,Airbus A380,109
FL-287690,JFK,MEX,2023-05-12 13:12:00,2023-05-12 14:51:00,Alitalia,1:39:00,2122,Bombardier CRJ900,248
FL-173609,ORD,ATL,2023-06-17 00:22:00,2023-06-17 03:00:00,Finnair,2:38:00,1206,Airbus A330,203
FL-760835,CDG,LHR,2023-09-21 04:29:00,2023-09-21 09:21:00,Royal Jordanian,4:52:00,1465,Boeing 747,214
FL-854507,HKG,AMS,2023-01-27 11:16:00,2023-01-27 12:49:00,Etihad Airways,1:33:00,2075,Airbus A350,139
FL-194535,MEL,ATL,2023-03-07 09:33:00,2023-03-07 14:56:00,Lufthansa,5:23:00,2100,Boeing 747,198
FL-362810,FCO,SYD,2023-09-06 12:43:00,2023-09-06 20:37:00,Cathay Pacific,7:54:00,1952,Bombardier Q400,181
FL-441040,SFO,SYD,2023-05-13 19:14:00,2023-05-13 22:13:00,Emirates,2:59:00,1494,Boeing 787,124
FL-669736,LAX,YOW,2023-05-02 22:07:00,2023-05-03 04:32:00,ANA All Nippon Airways,6:25:00,1022,Airbus A350,120
FL-261431,AMS,MIA,2023-08-26 21:33:00,2023-08-26 23:32:00,Aeroflot,1:59:00,1532,Boeing 747,151
FL-541745,YOW,IST,2023-11-03 09:57:00,2023-11-03 17:48:00,KLM,7:51:00,395,Airbus A350,232
FL-417036,ORD,YHZ,2023-06-28 10:07:00,2023-06-28 13:32:00,Singapore Airlines,3:25:00,389,McDonnell Douglas MD-88,100
FL-652126,AMS,FRA,2023-02-20 23:10:00,2023-02-21 03:14:00,Air France,4:04:00,1697,Airbus A340,134
FL-635794,FCO,YYZ,2023-01-08 10:25:00,2023-01-08 18:17:00,Aeroflot,7:52:00,1473,Airbus A340,198
FL-400939,ATL,YVR,2023-01-14 05:57:00,2023-01-14 09:41:00,Avianca,3:44:00,1995,Airbus A330,240
FL-264317,DEN,ORD,2023-02-04 02:07:00,2023-02-04 06:13:00,Iberia,4:06:00,2860,Boeing 787,117
FL-962521,MEL,AMS,2023-02-12 06:54:00,2023-02-12 09:59:00,EVA Air,3:05:00,2051,Bombardier Q400,195
FL-629473,FRA,AMS,2023-10-10 05:06:00,2023-10-10 07:33:00,American Airlines,2:27:00,956,Airbus A320,152
FL-493784,ATL,JFK,2023-07-05 21:40:00,2023-07-06 06:22:00,Asiana Airlines,8:42:00,2646,McDonnell Douglas MD-88,156
FL-216067,SFO,MIA,2023-09-24 21:57:00,2023-09-25 00:08:00,KLM,2:11:00,1791,Airbus A340,247
FL-679610,YUL,CDG,2023-07-14 18:59:00,2023-07-14 20:34:00,Air France,1:35:00,418,Boeing 767,101
FL-556687,LAX,YOW,2023-10-19 04:16:00,2023-10-19 12:14:00,Qantas,7:58:00,1791,Boeing 777,164
FL-531097,YXU,ICN,2023-04-07 06:20:00,2023-04-07 10:03:00,Asiana Airlines,3:43:00,2011,Boeing 767,227
FL-402840,LAX,DXB,2023-07-12 13:32:00,2023-07-12 21:35:00,Emirates,8:03:00,1985,Airbus A380,171
FL-852483,PEK,MIA,2023-12-12 17:23:00,2023-12-13 01:03:00,Turkish Airlines,7:40:00,2721,Boeing 737,247
FL-584352,LHR,ORD,2023-03-26 05:10:00,2023-03-26 10:15:00,EVA Air,5:05:00,1148,Boeing 777,131
FL-670103,ATL,IST,2023-01-26 12:29:00,2023-01-26 14:14:00,Turkish Airlines,1:45:00,2301,Boeing 777,161
FL-426351,SIN,HKG,2023-01-04 02:58:00,2023-01-04 11:31:00,United Airlines,8:33:00,1940,Boeing 787,184
FL-345254,LAX,ORD,2023-09-21 12:34:00,2023-09-21 18:07:00,Asiana Airlines,5:33:00,1089,Airbus A320,162
FL-680263,MEX,IST,2023-08-25 15:47:00,2023-08-25 20:45:00,United Airlines,4:58:00,1544,Boeing 737,136
FL-183989,YXU,MEL,2023-08-13 12:28:00,2023-08-13 14:13:00,WestJet,1:45:00,692,Bombardier Q400,231
FL-686063,LHR,YVR,2023-06-05 12:52:00,2023-06-05 16:42:00,EVA Air,3:50:00,1296,Boeing 737,120
FL-522958,YXU,PEK,2023-04-13 02:36:00,2023-04-13 05:01:00,Asiana Airlines,2:25:00,1606,Airbus A340,240
FL-225492,DFW,LAX,2023-07-21 19:48:00,2023-07-21 21:39:00,Air Python,1:51:00,843,Airbus A350,172
FL-299026,ATL,AMS,2023-02-27 15:23:00,2023-02-27 19:50:00,Virgin Atlantic,4:27:00,1765,Boeing 737 MAX,196
FL-420181,DFW,JFK,2023-02-07 04:26:00,2023-02-07 07:48:00,Finnair,3:22:00,1216,Boeing 737,224
FL-702660,ATL,YOW,2023-12-18 11:42:00,2023-12-18 20:06:00,British Airways,8:24:00,2854,Airbus A330,154
FL-941949,DFW,YHZ,2023-02-03 19:21:00,2023-02-04 01:55:00,Alitalia,6:34:00,2945,Airbus A340,144
FL-472841,YVR,HND,2023-06-18 18:15:00,2023-06-18 19:21:00,ANA All Nippon Airways,1:06:00,1397,McDonnell Douglas MD-88,141
FL-827204,DFW,ORD,2023-10-26 19:50:00,2023-10-27 01:31:00,British Airways,5:41:00,1106,Airbus A380,155
FL-470679,AMS,CDG,2023-11-24 12:29:00,2023-11-24 15:35:00,Avianca,3:06:00,849,Boeing 767,145
FL-637038,SIN,YHZ,2023-08-23 20:38:00,2023-08-24 02:27:00,Royal Jordanian,5:49:00,425,Airbus A340,150
FL-340450,FCO,LHR,2023-01-22 20:26:00,2023-01-23 02:49:00,ANA All Nippon Airways,6:23:00,235,Boeing 737 MAX,195
FL-703649,CDG,DFW,2023-12-02 16:13:00,2023-12-02 19:12:00,KLM,2:59:00,901,Embraer E190,238
FL-957629,JFK,LAX,2023-05-24 13:37:00,2023-05-24 15:16:00,Cathay Pacific,1:39:00,729,Boeing 747,206
FL-447848,MIA,CDG,2023-05-08 04:12:00,2023-05-08 09:46:00,Lufthansa,5:34:00,1741,Bombardier CRJ900,124
FL-118595,YUL,IST,2023-08-19 15:47:00,2023-08-19 23:51:00,WestJet,8:04:00,304,Bombardier CRJ900,158
FL-526520,ICN,ORD,2023-07-19 06:25:00,2023-07-19 14:41:00,Asiana Airlines,8:16:00,1192,Boeing 737,147
FL-151060,LAX,YXU,2023-01-23 18:21:00,2023-01-24 02:03:00,Singapore Airlines,7:42:00,1909,Boeing 737 MAX,159
FL-960159,HND,HKG,2023-05-03 16:42:00,2023-05-04 00:34:00,WestJet,7:52:00,2505,McDonnell Douglas MD-88,158
FL-324160,HND,YVR,2023-01-03 09:37:00,2023-01-03 18:10:00,Alitalia,8:33:00,1427,Embraer E190,174
FL-896321,YVR,YYZ,2023-08-11 07:37:00,2023-08-11 13:11:00,British Airways,5:34:00,2159,Airbus A320,191
FL-963059,MIA,HKG,2023-02-22 15:44:00,2023-02-22 19:33:00,KLM,3:49:00,2300,Boeing 767,211
FL-863782,SFO,SYD,2023-03-08 23:44:00,2023-03-09 01:15:00,Iberia,1:31:00,1729,Boeing 737,200
FL-560175,YYZ,YOW,2023-04-04 05:47:00,2023-04-04 13:20:00,Avianca,7:33:00,2724,Airbus A320,167
FL-851595,HND,LAX,2023-06-25 23:11:00,2023-06-26 05:44:00,British Airways,6:33:00,1249,Airbus A330,108
FL-384298,YYZ,LAX,2023-08-20 20:24:00,2023-08-21 00:05:00,KLM,3:41:00,1836,Airbus A330,244
FL-107366,ATL,HND,2023-07-14 02:59:00,2023-07-14 06:46:00,Qatar Airways,3:47:00,1519,Embraer E190,152
FL-986831,LHR,PEK,2023-09-23 13:25:00,2023-09-23 15:13:00,Aeroflot,1:48:00,1177,McDonnell Douglas MD-88,240
FL-729533,DXB,PEK,2023-07-03 23:39:00,2023-07-04 00:58:00,Finnair,1:19:00,2037,Boeing 777,176
FL-205468,LAX,YUL,2023-05-22 09:27:00,2023-05-22 12:01:00,WestJet,2:34:00,1362,Airbus A380,185
FL-507649,MEX,CDG,2023-11-09 21:30:00,2023-11-10 04:54:00,Asiana Airlines,7:24:00,1504,Boeing 787,236
FL-952132,LAX,YOW,2023-03-22 19:04:00,2023-03-23 03:56:00,Avianca,8:52:00,1915,Airbus A330,159
FL-850629,ORD,HND,2023-04-01 18:16:00,2023-04-01 20:14:00,Delta Airlines,1:58:00,1775,Airbus A340,249
FL-318431,CDG,SYD,2023-06-26 02:55:00,2023-06-26 04:53:00,Lufthansa,1:58:00,1371,McDonnell Douglas MD-88,211
FL-631490,JFK,ORD,2023-10-20 12:11:00,2023-10-20 17:11:00,Aeroflot,5:00:00,256,Airbus A340,203
FL-343911,MEL,DEN,2023-06-01 19:39:00,2023-06-02 03:37:00,Air France,7:58:00,758,Boeing 737 MAX,167
FL-842994,CDG,YXU,2023-12-18 01:43:00,2023-12-18 06:10:00,Singapore Airlines,4:27:00,2687,Boeing 737,250
FL-497118,YUL,FRA,2023-06-10 09:25:00,2023-06-10 12:16:00,Qantas,2:51:00,2817,Boeing 777,213
FL-536087,HND,YVR,2023-09-20 17:21:00,2023-09-20 23:58:00,Royal Jordanian,6:37:00,2365,Airbus A350,191
FL-747196,LAX,PEK,2023-06-09 04:42:00,2023-06-09 05:47:00,Turkish Airlines,1:05:00,542,Airbus A350,249
FL-329725,DEN,ICN,2023-01-18 01:51:00,2023-01-18 03:33:00,EVA Air,1:42:00,304,Boeing 737 MAX,190
FL-167021,SIN,AMS,2023-07-12 09:31:00,2023-07-12 13:10:00,Qatar Airways,3:39:00,1390,Boeing 787,191
FL-636512,LAX,FCO,2023-06-07 18:34:00,2023-06-07 20:33:00,Qatar Airways,1:59:00,1478,Airbus A380,213
FL-412341,DEN,DFW,2023-08-10 03:13:00,2023-08-10 05:32:00,Qatar Airways,2:19:00,1767,Airbus A350,205
FL-283819,MIA,YVR,2023-08-21 16:34:00,2023-08-21 22:10:00,Qantas,5:36:00,2034,Boeing 747,213
FL-425195,LAX,YVR,2023-08-24 01:36:00,2023-08-24 04:36:00,EVA Air,3:00:00,1619,Airbus A330,124
FL-597366,YYZ,AMS,2023-04-10 11:08:00,2023-04-10 18:28:00,KLM,7:20:00,2018,Boeing 787,107
FL-246066,CDG,LAX,2023-06-16 18:56:00,2023-06-17 00:52:00,WestJet,5:56:00,1562,Airbus A380,173
FL-182730,MIA,MEX,2023-10-27 03:10:00,2023-10-27 11:41:00,Aeroflot,8:31:00,1312,Boeing 767,101
FL-908743,HKG,FRA,2023-10-10 21:11:00,2023-10-11 05:39:00,American Airlines,8:28:00,882,Airbus A340,242
FL-228600,FRA,CDG,2023-03-14 00:53:00,2023-03-14 05:01:00,Air Python,4:08:00,627,Boeing 767,217
FL-259827,FCO,YVR,2023-05-03 12:40:00,2023-05-03 15:11:00,Lufthansa,2:31:00,920,Airbus A320,213
FL-937112,ORD,LAX,2023-08-03 17:13:00,2023-08-04 01:23:00,Cathay Pacific,8:10:00,994,Boeing 737,215
FL-176981,DFW,FCO,2023-04-26 21:45:00,2023-04-27 03:39:00,Aeroflot,5:54:00,2968,Boeing 737 MAX,196
FL-458059,IST,MIA,2023-04-15 21:10:00,2023-04-16 05:12:00,Royal Jordanian,8:02:00,622,Airbus A350,237
FL-777599,ICN,LHR,2023-12-21 22:52:00,2023-12-22 07:04:00,Turkish Airlines,8:12:00,2563,Bombardier Q400,240
FL-310247,MEL,DFW,2023-09-05 02:49:00,2023-09-05 06:00:00,Singapore Airlines,3:11:00,730,Bombardier Q400,168
FL-674726,SFO,ICN,2023-08-27 22:52:00,2023-08-28 04:22:00,Royal Jordanian,5:30:00,2655,Airbus A320,178
FL-308069,HND,ICN,2023-01-12 20:04:00,2023-01-13 02:28:00,Virgin Atlantic,6:24:00,2359,Airbus A340,172
FL-953682,SYD,FCO,2023-10-27 00:18:00,2023-10-27 05:38:00,ANA All Nippon Airways,5:20:00,2372,Boeing 787,181
FL-329482,YXU,SFO,2023-10-20 08:53:00,2023-10-20 13:24:00,Air Canada,4:31:00,337,Bombardier CRJ900,121
FL-106262,YYZ,YUL,2023-12-05 12:52:00,2023-12-05 19:29:00,Iberia,6:37:00,2890,Boeing 787,100
FL-502462,HND,YOW,2023-02-10 00:36:00,2023-02-10 07:56:00,Finnair,7:20:00,2280,Boeing 767,139
FL-806983,JFK,FRA,2023-03-19 22:52:00,2023-03-20 05:10:00,Swiss International Air Lines,6:18:00,561,Boeing 767,187
FL-139538,HND,YOW,2023-04-20 22:12:00,2023-04-21 00:55:00,KLM,2:43:00,2411,Airbus A380,249
FL-474325,ORD,SFO,2023-12-22 07:22:00,2023-12-22 09:07:00,Turkish Airlines,1:45:00,1347,Airbus A340,140
FL-929205,YXU,MEX,2023-04-06 18:32:00,2023-04-07 01:58:00,Royal Jordanian,7:26:00,2833,Embraer E190,165
FL-972585,YYZ,FRA,2023-06-27 01:14:00,2023-06-27 06:53:00,Thai Airways,5:39:00,2525,Boeing 787,183
FL-294194,ORD,PEK,2023-10-19 01:23:00,2023-10-19 06:58:00,Alitalia,5:35:00,2928,Airbus A330,193
FL-424268,SYD,AMS,2023-04-14 18:03:00,2023-04-15 00:12:00,KLM,6:09:00,1776,McDonnell Douglas MD-88,156
FL-209419,ICN,IST,2023-09-21 20:20:00,2023-09-21 23:33:00,United Airlines,3:13:00,302,Boeing 737 MAX,238
FL-407312,HND,HKG,2023-02-21 07:30:00,2023-02-21 12:55:00,Aeroflot,5:25:00,982,Airbus A340,116
FL-592137,HKG,DXB,2023-08-16 03:30:00,2023-08-16 06:42:00,ANA All Nippon Airways,3:12:00,1193,Boeing 767,210
FL-588775,JFK,DXB,2023-12-04 03:55:00,2023-12-04 06:03:00,WestJet,2:08:00,2714,Boeing 767,142
FL-341357,LHR,DEN,2023-10-18 20:21:00,2023-10-19 04:04:00,Alitalia,7:43:00,2488,Airbus A340,111
FL-862781,YHZ,MEL,2023-09-01 03:40:00,2023-09-01 11:30:00,Qantas,7:50:00,1769,Bombardier Q400,228
FL-343485,JFK,MEL,2023-03-16 02:41:00,2023-03-16 03:51:00,United Airlines,1:10:00,530,Airbus A320,188
FL-416918,LAX,YXU,2023-04-22 00:17:00,2023-04-22 05:09:00,Qatar Airways,4:52:00,851,McDonnell Douglas MD-88,206
FL-638289,YOW,LAX,2023-09-19 20:43:00,2023-09-20 05:37:00,Virgin Atlantic,8:54:00,661,Airbus A330,150
FL-508161,FRA,YXU,2023-11-17 23:28:00,2023-11-18 06:14:00,EVA Air,6:46:00,1411,Embraer E190,104
FL-516391,SFO,HKG,2023-06-13 22:32:00,2023-06-14 04:22:00,China Southern Airlines,5:50:00,1136,Boeing 767,155
FL-940869,DEN,YUL,2023-05-01 12:18:00,2023-05-01 16:31:00,Alitalia,4:13:00,2144,Airbus A380,129
FL-422397,YXU,ORD,2023-01-03 06:03:00,2023-01-03 07:27:00,Finnair,1:24:00,1038,Bombardier Q400,242
FL-941371,YVR,SYD,2023-06-25 13:05:00,2023-06-25 17:41:00,KLM,4:36:00,1041,Boeing 737,247
FL-464902,SFO,DFW,2023-10-23 17:47:00,2023-10-24 00:46:00,Aeroflot,6:59:00,2692,Airbus A330,118
FL-429570,SIN,IST,2023-04-09 10:51:00,2023-04-09 15:45:00,Lufthansa,4:54:00,1482,Boeing 777,121
FL-742151,ORD,DXB,2023-01-14 15:22:00,2023-01-14 23:28:00,Air Python,8:06:00,1199,Boeing 737 MAX,172
FL-929708,CDG,MEL,2023-11-28 00:36:00,2023-11-28 03:18:00,EVA Air,2:42:00,2813,Airbus A380,144
FL-784013,FCO,YVR,2023-05-01 23:18:00,2023-05-02 08:12:00,United Airlines,8:54:00,1539,Airbus A330,178
FL-721339,CDG,MIA,2023-05-26 23:22:00,2023-05-27 00:56:00,Etihad Airways,1:34:00,300,Airbus A340,146
FL-722874,FCO,LHR,2023-09-25 10:47:00,2023-09-25 15:15:00,Etihad Airways,4:28:00,787,McDonnell Douglas MD-88,207
FL-722360,IST,MIA,2023-10-06 20:20:00,2023-10-07 02:11:00,United Airlines,5:51:00,1466,Airbus A330,169
FL-624184,MIA,SFO,2023-08-13 10:24:00,2023-08-13 18:45:00,Asiana Airlines,8:21:00,415,Bombardier Q400,128
FL-431188,YYZ,YHZ,2023-02-24 23:01:00,2023-02-25 00:56:00,American Airlines,1:55:00,1140,Airbus A350,212
FL-936282,DFW,ATL,2023-02-21 17:56:00,2023-02-21 23:45:00,Avianca,5:49:00,649,Embraer E190,218
FL-625724,HND,YUL,2023-05-04 12:39:00,2023-05-04 14:27:00,Lufthansa,1:48:00,221,Embraer E190,217
FL-298590,YXU,AMS,2023-02-26 07:53:00,2023-02-26 10:59:00,Virgin Atlantic,3:06:00,690,Boeing 747,111
FL-171724,CDG,HND,2023-03-07 09:00:00,2023-03-07 12:48:00,Air Canada,3:48:00,922,Bombardier Q400,109
FL-749533,DXB,MIA,2023-01-23 14:37:00,2023-01-23 22:24:00,WestJet,7:47:00,1553,Airbus A330,213
FL-191950,LHR,ATL,2023-02-14 22:59:00,2023-02-15 05:58:00,ANA All Nippon Airways,6:59:00,2767,Boeing 737 MAX,158
FL-127328,LAX,ICN,2023-05-01 13:37:00,2023-05-01 16:58:00,Emirates,3:21:00,1743,Airbus A330,171
FL-965156,DEN,HND,2023-08-20 21:38:00,2023-08-20 23:22:00,United Airlines,1:44:00,1134,Airbus A340,170
FL-418765,LAX,DXB,2023-07-01 23:29:00,2023-07-02 06:12:00,Thai Airways,6:43:00,1710,Bombardier CRJ900,153
FL-227911,LAX,MEL,2023-03-25 17:55:00,2023-03-25 21:41:00,American Airlines,3:46:00,1371,Boeing 787,109
FL-254854,YOW,YVR,2023-03-23 16:08:00,2023-03-24 00:49:00,Etihad Airways,8:41:00,464,Boeing 787,117
FL-414684,YHZ,DFW,2023-05-09 03:48:00,2023-05-09 07:28:00,Singapore Airlines,3:40:00,517,Airbus A350,175
FL-280628,LHR,ORD,2023-04-02 12:56:00,2023-04-02 20:50:00,Etihad Airways,7:54:00,2549,Boeing 737,227
FL-491684,YUL,LAX,2023-06-18 17:49:00,2023-06-18 22:55:00,Finnair,5:06:00,408,Boeing 747,178
FL-545026,FRA,YVR,2023-10-08 19:30:00,2023-10-08 20:54:00,EVA Air,1:24:00,334,Airbus A330,218
FL-251356,SFO,MIA,2023-12-12 13:49:00,2023-12-12 14:58:00,Aeroflot,1:09:00,1352,Bombardier Q400,139
FL-642388,MEX,FCO,2023-07-11 00:04:00,2023-07-11 05:41:00,Cathay Pacific,5:37:00,2548,Boeing 737 MAX,186
FL-247819,SFO,YYZ,2023-06-07 23:55:00,2023-06-08 06:06:00,Etihad Airways,6:11:00,1667,Boeing 747,165
FL-802207,LAX,YXU,2023-04-26 01:31:00,2023-04-26 05:15:00,Finnair,3:44:00,1791,Boeing 737 MAX,145
FL-255501,ICN,DEN,2023-12-19 15:44:00,2023-12-20 00:12:00,United Airlines,8:28:00,2577,Boeing 737,161
FL-248946,YXU,ATL,2023-08-09 02:08:00,2023-08-09 05:23:00,Singapore Airlines,3:15:00,1344,Boeing 787,210
FL-226376,ICN,SFO,2023-07-05 01:17:00,2023-07-05 05:39:00,Virgin Atlantic,4:22:00,2159,Boeing 767,202
FL-735802,ICN,ATL,2023-11-28 23:14:00,2023-11-29 04:18:00,China Southern Airlines,5:04:00,2298,Bombardier CRJ900,118
FL-974244,YVR,YHZ,2023-08-22 01:28:00,2023-08-22 08:59:00,American Airlines,7:31:00,2162,Boeing 777,166
FL-948115,YUL,CDG,2023-08-18 07:49:00,2023-08-18 11:53:00,Air Canada,4:04:00,2248,Bombardier CRJ900,217
FL-513442,LHR,YYZ,2023-06-14 22:36:00,2023-06-15 04:25:00,WestJet,5:49:00,2311,Airbus A350,180
FL-940201,MEX,AMS,2023-08-06 04:45:00,2023-08-06 08:50:00,Emirates,4:05:00,1819,Boeing 737 MAX,161
FL-965200,FRA,FCO,2023-09-09 06:34:00,2023-09-09 11:32:00,ANA All Nippon Airways,4:58:00,1238,Airbus A320,226
FL-595498,MIA,YYZ,2023-11-14 04:20:00,2023-11-14 07:35:00,Delta Airlines,3:15:00,2656,Airbus A320,167
FL-394143,IST,LAX,2023-06-18 21:54:00,2023-06-18 23:59:00,Aeroflot,2:05:00,2171,Boeing 767,181
