FlightNumber,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,Airline,FlightDuration,AvgTicketPrice,Aircraft,PassengerCount
FL-608327,FRA,IST,2023-04-17 02:37:00,2023-04-17 04:20:00,Emirates,1:43:00,1302,Airbus A340,248
FL-975334,CDG,DXB,2023-08-21 23:54:00,2023-08-22 04:39:00,Qatar Airways,4:45:00,2760,Bombardier CRJ900,161
FL-799593,SFO,DEN,2023-11-24 04:28:00,2023-11-24 07:43:00,EVA Air,3:15:00,500,Airbus A330,249
FL-537279,FRA,HKG,2023-02-12 17:51:00,2023-02-12 21:42:00,Emirates,3:51:00,361,Boeing 777,224
FL-349401,MEL,IST,2023-06-25 05:19:00,2023-06-25 06:31:00,Delta Airlines,1:12:00,1588,Airbus A340,139
FL-949227,MEL,FCO,2023-09-06 00:15:00,2023-09-06 03:30:00,Qatar Airways,3:15:00,1161,Boeing 747,220
FL-695735,ORD,YYZ,2023-12-09 22:55:00,2023-12-10 01:43:00,Alitalia,2:48:00,2755,Airbus A380,235
FL-751496,FCO,ATL,2023-07-09 05:44:00,2023-07-09 13:13:00,Finnair,7:29:00,2575,Boeing 737 MAX,239
FL-345189,PEK,MEX,2023-09-13 02:07:00,2023-09-13 08:48:00,Thai Airways,6:41:00,563,Bombardier Q400,166
FL-181196,DFW,LHR,2023-02-06 09:04:00,2023-02-06 10:09:00,Aeroflot,1:05:00,258,Boeing 787,203
FL-529756,HND,LAX,2023-04-06 11:27:00,2023-04-06 18:29:00,KLM,7:02:00,1058,Airbus A330,144
FL-616251,MEL,LAX,2023-07-27 02:48:00,2023-07-27 04:35:00,China Southern Airlines,1:47:00,2236,Boeing 737 MAX,230
FL-855946,FCO,DEN,2023-04-19 10:26:00,2023-04-19 17:11:00,Qantas,6:45:00,771,Boeing 737 MAX,206
FL-270765,HND,YUL,2023-03-07 03:10:00,2023-03-07 06:25:00,EVA Air,3:15:00,206,Embraer E190,159
FL-968284,YUL,SYD,2023-05-27 08:23:00,2023-05-27 15:55:00,Finnair,7:32:00,1738,McDonnell Douglas MD-88,197
FL-717302,HKG,AMS,2023-04-09 04:11:00,2023-04-09 07:54:00,KLM,3:43:00,2528,Airbus A350,222
FL-620312,IST,PEK,2023-01-27 17:57:00,2023-01-27 20:32:00,British Airways,2:35:00,1695,Airbus A350,175
FL-185767,MEX,CDG,2023-05-10 03:04:00,2023-05-10 11:26:00,Finnair,8:22:00,1474,Bombardier CRJ900,238
FL-412914,DEN,IST,2023-12-22 09:10:00,2023-12-22 11:44:00,Air Canada,2:34:00,707,Bombardier CRJ900,241
FL-248411,DFW,FRA,2023-12-23 03:38:00,2023-12-23 04:41:00,Cathay Pacific,1:03:00,2066,Boeing 767,218
FL-633592,YYZ,DXB,2023-07-08 15:39:00,2023-07-08 16:58:00,China Southern Airlines,1:19:00,1842,Airbus A380,206
FL-442389,FRA,DFW,2023-08-04 07:39:00,2023-08-04 14:17:00,American Airlines,6:38:00,2882,Airbus A320,129
FL-519156,MIA,AMS,2023-01-10 14:13:00,2023-01-10 16:53:00,Asiana Airlines,2:40:00,231,Boeing 767,170
FL-139885,MIA,LAX,2023-10-19 13:16:00,2023-10-19 19:57:00,Emirates,6:41:00,1386,Boeing 777,149
FL-635628,YUL,FRA,2023-07-08 08:17:00,2023-07-08 09:28:00,Delta Airlines,1:11:00,2925,Airbus A320,163
FL-547551,YYZ,MIA,2023-07-28 06:09:00,2023-07-28 13:56:00,Turkish Airlines,7:47:00,828,Boeing 737 MAX,184
FL-788241,JFK,MEL,2023-10-20 08:03:00,2023-10-20 11:05:00,KLM,3:02:00,2561,Airbus A330,178
FL-859433,ORD,HND,2023-04-17 13:03:00,2023-04-17 14:49:00,Turkish Airlines,1:46:00,674,Airbus A350,234
FL-235402,YYZ,FCO,2023-05-05 23:37:00,2023-05-06 06:18:00,China Southern Airlines,6:41:00,2057,Boeing 767,220
FL-826113,DEN,MIA,2023-08-15 19:19:00,2023-08-16 03:37:00,KLM,8:18:00,2420,Bombardier Q400,144
FL-899760,MEX,MIA,2023-05-11 09:56:00,2023-05-11 12:18:00,Delta Airlines,2:22:00,1523,Airbus A320,186
FL-951636,YXU,DXB,2023-05-02 03:13:00,2023-05-02 06:33:00,ANA All Nippon Airways,3:20:00,492,Boeing 747,152
FL-671270,FRA,YYZ,2023-08-01 17:00:00,2023-08-02 00:22:00,Virgin Atlantic,7:22:00,713,McDonnell Douglas MD-88,119
FL-425144,LAX,ORD,2023-11-19 13:47:00,2023-11-19 20:36:00,Asiana Airlines,6:49:00,1243,Boeing 747,169
FL-895875,YYZ,IST,2023-06-09 16:55:00,2023-06-09 22:08:00,ANA All Nippon Airways,5:13:00,2111,Airbus A320,225
FL-342545,LHR,SYD,2023-03-08 15:01:00,2023-03-08 19:50:00,Etihad Airways,4:49:00,1635,Airbus A350,187
FL-540135,YYZ,SIN,2023-12-16 15:32:00,2023-12-17 00:00:00,United Airlines,8:28:00,1217,Boeing 737,108
FL-270957,SIN,IST,2023-12-20 23:10:00,2023-12-21 03:34:00,WestJet,4:24:00,677,Boeing 747,177
FL-697611,ICN,SFO,2023-12-19 21:53:00,2023-12-19 23:43:00,Air Python,1:50:00,1321,Embraer E190,220
FL-626502,HND,SIN,2023-02-20 01:26:00,2023-02-20 09:00:00,American Airlines,7:34:00,304,Embraer E190,152
FL-290264,YYZ,MIA,2023-07-22 05:47:00,2023-07-22 10:00:00,Turkish Airlines,4:13:00,2600,Bombardier CRJ900,189
FL-316903,HND,LAX,2023-11-05 08:54:00,2023-11-05 12:23:00,Aeroflot,3:29:00,1145,Boeing 737,164
FL-175091,YUL,YYZ,2023-03-25 16:38:00,2023-03-25 18:21:00,Asiana Airlines,1:43:00,2383,Bombardier CRJ900,157
FL-259285,MEX,LAX,2023-07-14 16:49:00,2023-07-14 23:17:00,Virgin Atlantic,6:28:00,1473,Bombardier Q400,190
FL-829250,FRA,DFW,2023-10-09 12:24:00,2023-10-09 19:54:00,Qatar Airways,7:30:00,2149,Boeing 737,183
FL-838210,YYZ,MEL,2023-04-10 20:12:00,2023-04-10 21:21:00,Asiana Airlines,1:09:00,2971,Airbus A350,131
FL-441907,YXU,HKG,2023-04-27 13:10:00,2023-04-27 14:36:00,Virgin Atlantic,1:26:00,1343,Airbus A380,112
FL-795351,FRA,DFW,2023-06-20 18:22:00,2023-06-20 19:48:00,Royal Jordanian,1:26:00,1562,Airbus A380,229
FL-346182,MEX,ICN,2023-03-04 04:31:00,2023-03-04 11:26:00,Asiana Airlines,6:55:00,1096,Boeing 777,158
FL-656264,CDG,AMS,2023-03-14 01:17:00,2023-03-14 02:33:00,Finnair,1:16:00,261,Bombardier CRJ900,232
FL-336782,PEK,ATL,2023-01-11 22:39:00,2023-01-12 02:07:00,United Airlines,3:28:00,1602,Embraer E190,136
FL-644619,HKG,MIA,2023-12-27 02:29:00,2023-12-27 04:34:00,Alitalia,2:05:00,2077,Boeing 777,171
FL-560229,PEK,DXB,2023-03-11 18:07:00,2023-03-11 22:44:00,Lufthansa,4:37:00,891,Boeing 787,162
FL-996171,PEK,IST,2023-05-08 16:57:00,2023-05-08 22:27:00,Singapore Airlines,5:30:00,1194,Airbus A340,238
FL-332789,AMS,MEX,2023-03-14 14:18:00,2023-03-14 21:53:00,Qantas,7:35:00,2337,Boeing 787,233
FL-745212,YHZ,SFO,2023-01-03 09:36:00,2023-01-03 18:07:00,Swiss International Air Lines,8:31:00,238,Airbus A350,235
FL-648017,AMS,YUL,2023-03-10 16:27:00,2023-03-10 17:57:00,Virgin Atlantic,1:30:00,1432,Bombardier CRJ900,231
FL-792118,IST,LAX,2023-07-25 09:52:00,2023-07-25 11:12:00,Finnair,1:20:00,2894,Airbus A380,117
FL-792088,YUL,MEL,2023-05-01 15:36:00,2023-05-01 22:23:00,United Airlines,6:47:00,2472,Boeing 767,168
FL-191771,MEX,ORD,2023-06-14 17:10:00,2023-06-14 19:22:00,China Southern Airlines,2:12:00,2664,Bombardier Q400,164
FL-911391,FCO,IST,2023-02-19 07:54:00,2023-02-19 16:22:00,EVA Air,8:28:00,627,Bombardier CRJ900,159
FL-229441,LAX,FRA,2023-03-21 15:23:00,2023-03-21 17:38:00,Thai Airways,2:15:00,1865,Boeing 777,119
FL-681633,LHR,YUL,2023-10-11 14:24:00,2023-10-11 21:38:00,WestJet,7:14:00,2027,Boeing 787,100
FL-296353,ICN,MEL,2023-08-04 11:41:00,2023-08-04 14:49:00,Finnair,3:08:00,1669,Airbus A330,161
FL-553766,SFO,YXU,2023-10-22 12:12:00,2023-10-22 18:37:00,Iberia,6:25:00,2497,Airbus A320,190
FL-826105,ORD,YUL,2023-01-13 03:29:00,2023-01-13 07:16:00,Royal Jordanian,3:47:00,610,Airbus A380,117
FL-691351,YYZ,ICN,2023-04-19 03:42:00,2023-04-19 12:19:00,Qantas,8:37:00,2937,Airbus A340,221
FL-118240,MEX,JFK,2023-02-17 16:56:00,2023-02-18 01:43:00,Virgin Atlantic,8:47:00,2330,Boeing 737 MAX,167
FL-289346,ORD,AMS,2023-05-09 16:52:00,2023-05-09 19:43:00,Avianca,2:51:00,2720,Airbus A330,202
FL-772444,YHZ,MEL,2023-06-25 18:04:00,2023-06-26 02:24:00,American Airlines,8:20:00,1222,Boeing 737,125
FL-372571,HND,DFW,2023-06-22 00:02:00,2023-06-22 01:34:00,Cathay Pacific,1:32:00,2250,Airbus A340,178
FL-636275,DXB,SIN,2023-09-20 00:29:00,2023-09-20 04:48:00,Finnair,4:19:00,540,Boeing 777,188
FL-122438,LAX,YUL,2023-06-18 00:25:00,2023-06-18 08:19:00,ANA All Nippon Airways,7:54:00,1380,Boeing 787,105
FL-533026,MEX,FRA,2023-12-27 15:52:00,2023-12-27 21:01:00,Swiss International Air Lines,5:09:00,2907,Bombardier CRJ900,149
FL-787432,YYZ,YHZ,2023-11-13 11:02:00,2023-11-13 12:25:00,Iberia,1:23:00,233,Airbus A340,234
FL-991230,YXU,PEK,2023-11-20 00:45:00,2023-11-20 05:18:00,Avianca,4:33:00,2576,Boeing 777,172
FL-181004,HKG,SFO,2023-01-28 10:00:00,2023-01-28 14:00:00,EVA Air,4:00:00,1239,Airbus A330,141
FL-424435,MEX,PEK,2023-05-21 09:27:00,2023-05-21 14:44:00,Avianca,5:17:00,2291,Boeing 767,164
FL-172636,SYD,MEL,2023-01-21 16:22:00,2023-01-21 21:26:00,Air Canada,5:04:00,1727,Airbus A320,202
FL-761612,FRA,YUL,2023-11-21 03:51:00,2023-11-21 06:18:00,Asiana Airlines,2:27:00,1134,Airbus A320,176
FL-750502,HKG,YVR,2023-10-23 21:21:00,2023-10-24 04:57:00,Qantas,7:36:00,1933,Embraer E190,156
FL-583455,ATL,YYZ,2023-08-18 03:12:00,2023-08-18 11:24:00,Asiana Airlines,8:12:00,2918,Airbus A350,114
FL-829525,FRA,MEX,2023-03-17 01:07:00,2023-03-17 09:08:00,Air France,8:01:00,905,Airbus A330,179
FL-805411,LHR,HKG,2023-11-19 06:30:00,2023-11-19 15:24:00,Emirates,8:54:00,1907,Embraer E190,219
FL-380217,YHZ,DXB,2023-10-20 16:43:00,2023-10-20 18:13:00,EVA Air,1:30:00,1081,Boeing 737 MAX,118
FL-444978,IST,ICN,2023-02-25 06:33:00,2023-02-25 14:16:00,Finnair,7:43:00,311,Airbus A340,157
FL-936228,YYZ,LHR,2023-12-24 11:03:00,2023-12-24 14:52:00,Qatar Airways,3:49:00,1001,Bombardier Q400,108
FL-729770,HKG,JFK,2023-01-13 13:17:00,2023-01-13 20:49:00,Air France,7:32:00,377,Airbus A330,226
FL-108564,AMS,MEX,2023-02-24 13:55:00,2023-02-24 22:29:00,Turkish Airlines,8:34:00,2201,Boeing 737 MAX,237
FL-337458,PEK,YVR,2023-01-04 08:15:00,2023-01-04 11:39:00,Swiss International Air Lines,3:24:00,817,Boeing 737,243
FL-400996,FCO,MEX,2023-01-10 04:40:00,2023-01-10 10:32:00,Swiss International Air Lines,5:52:00,978,Boeing 767,179
FL-196585,YOW,SYD,2023-04-06 10:57:00,2023-04-06 13:00:00,KLM,2:03:00,2512,Airbus A350,142
FL-884197,YVR,MEL,2023-03-07 03:50:00,2023-03-07 05:19:00,ANA All Nippon Airways,1:29:00,1829,Airbus A320,172
FL-128802,YUL,JFK,2023-02-15 13:10:00,2023-02-15 17:58:00,Finnair,4:48:00,1205,Boeing 747,185
FL-195493,JFK,LAX,2023-11-04 00:14:00,2023-11-04 01:19:00,Air Canada,1:05:00,1548,Airbus A350,205
FL-660849,ORD,MIA,2023-04-11 11:05:00,2023-04-11 13:25:00,Singapore Airlines,2:20:00,342,Airbus A380,186
FL-561188,JFK,SFO,2023-01-04 10:18:00,2023-01-04 18:33:00,British Airways,8:15:00,1702,Boeing 737,164
FL-633142,HND,CDG,2023-02-26 00:39:00,2023-02-26 04:27:00,Air Python,3:48:00,2482,Boeing 747,220
FL-405804,FRA,DEN,2023-05-08 14:35:00,2023-05-08 20:57:00,Qatar Airways,6:22:00,2634,Boeing 737 MAX,190
FL-790526,PEK,ATL,2023-11-08 18:21:00,2023-11-08 19:26:00,American Airlines,1:05:00,2436,Airbus A380,165
FL-960394,PEK,DXB,2023-01-17 03:34:00,2023-01-17 08:01:00,Avianca,4:27:00,2753,Boeing 767,149
FL-709538,SYD,DEN,2023-06-07 13:24:00,2023-06-07 20:15:00,Qatar Airways,6:51:00,1817,McDonnell Douglas MD-88,210
FL-125063,LAX,JFK,2023-08-25 11:27:00,2023-08-25 19:09:00,Royal Jordanian,7:42:00,572,Airbus A330,107
FL-670822,AMS,YOW,2023-09-12 00:42:00,2023-09-12 09:01:00,WestJet,8:19:00,2098,McDonnell Douglas MD-88,211
FL-602298,PEK,MEX,2023-11-19 05:57:00,2023-11-19 11:19:00,Air France,5:22:00,1583,Boeing 747,136
FL-101558,DFW,ATL,2023-04-24 17:26:00,2023-04-24 23:10:00,Swiss International Air Lines,5:44:00,1077,Boeing 737,130
FL-217831,DEN,IST,2023-02-18 04:36:00,2023-02-18 10:55:00,American Airlines,6:19:00,1476,Bombardier Q400,163
FL-174346,ORD,SYD,2023-06-08 12:34:00,2023-06-08 20:23:00,WestJet,7:49:00,2417,Bombardier CRJ900,154
FL-636071,JFK,MEL,2023-08-11 13:26:00,2023-08-11 21:59:00,Thai Airways,8:33:00,437,Boeing 787,221
FL-849243,SYD,FRA,2023-06-15 05:04:00,2023-06-15 09:19:00,Thai Airways,4:15:00,1574,Boeing 777,148
FL-843563,LHR,DEN,2023-08-26 04:44:00,2023-08-26 09:25:00,China Southern Airlines,4:41:00,2273,Airbus A340,222
FL-357730,DXB,IST,2023-05-10 20:23:00,2023-05-11 03:59:00,Asiana Airlines,7:36:00,965,Boeing 737 MAX,147
FL-910490,FRA,AMS,2023-05-11 17:33:00,2023-05-12 02:17:00,Air Python,8:44:00,2171,Airbus A320,107
FL-461995,YXU,LAX,2023-09-13 12:30:00,2023-09-13 17:21:00,Aeroflot,4:51:00,1167,Boeing 747,192
FL-699238,YUL,CDG,2023-08-22 21:02:00,2023-08-23 04:01:00,Royal Jordanian,6:59:00,1561,Airbus A350,162
FL-464464,YOW,LAX,2023-03-16 19:35:00,2023-03-17 03:39:00,Lufthansa,8:04:00,568,Airbus A330,136
FL-578649,LHR,ATL,2023-12-14 12:45:00,2023-12-14 18:47:00,Iberia,6:02:00,2391,Boeing 777,109
FL-461766,LAX,ICN,2023-12-04 21:25:00,2023-12-05 00:29:00,Swiss International Air Lines,3:04:00,2483,Boeing 777,211
FL-302849,SFO,MEL,2023-02-21 09:27:00,2023-02-21 14:46:00,Thai Airways,5:19:00,1132,Airbus A340,159
FL-712966,HND,JFK,2023-10-01 01:17:00,2023-10-01 09:01:00,Air France,7:44:00,1915,Boeing 767,209
FL-497899,MEX,SYD,2023-06-04 00:02:00,2023-06-04 02:04:00,KLM,2:02:00,1468,Airbus A320,194
FL-969214,DFW,IST,2023-11-23 20:44:00,2023-11-23 22:54:00,China Southern Airlines,2:10:00,1711,Airbus A380,185
FL-603367,YUL,DXB,2023-01-22 23:33:00,2023-01-23 07:42:00,Emirates,8:09:00,1300,Airbus A380,218
FL-184459,FCO,ICN,2023-11-23 14:46:00,2023-11-23 20:21:00,Thai Airways,5:35:00,866,McDonnell Douglas MD-88,175
FL-457807,FRA,YUL,2023-11-14 06:39:00,2023-11-14 13:00:00,Turkish Airlines,6:21:00,2528,Airbus A330,169
FL-641057,AMS,YYZ,2023-05-22 15:43:00,2023-05-22 22:07:00,Aeroflot,6:24:00,1531,Bombardier CRJ900,113
FL-461101,FCO,HKG,2023-05-27 16:14:00,2023-05-27 22:11:00,Qantas,5:57:00,1605,McDonnell Douglas MD-88,216
FL-148922,HND,SFO,2023-01-11 12:16:00,2023-01-11 13:42:00,KLM,1:26:00,1633,Airbus A350,175
FL-702814,DFW,YOW,2023-12-21 13:33:00,2023-12-21 21:45:00,Alitalia,8:12:00,2932,Airbus A350,133
FL-573037,HKG,CDG,2023-10-11 11:09:00,2023-10-11 20:00:00,Lufthansa,8:51:00,2731,Airbus A340,191
FL-721516,HND,PEK,2023-04-16 04:12:00,2023-04-16 10:44:00,EVA Air,6:32:00,1317,Airbus A380,191
FL-798308,SFO,CDG,2023-01-01 14:21:00,2023-01-01 19:22:00,Lufthansa,5:01:00,1658,Boeing 777,159
FL-379549,LAX,HND,2023-11-09 20:25:00,2023-11-10 03:18:00,Air Python,6:53:00,486,Bombardier Q400,208
FL-541044,CDG,LAX,2023-04-05 22:08:00,2023-04-06 03:39:00,Swiss International Air Lines,5:31:00,1143,Boeing 747,174
FL-137397,FCO,SYD,2023-11-17 12:08:00,2023-11-17 14:52:00,China Southern Airlines,2:44:00,1439,McDonnell Douglas MD-88,226
FL-732707,YUL,YHZ,2023-06-15 03:45:00,2023-06-15 06:54:00,British Airways,3:09:00,2814,Embraer E190,125
FL-240799,LHR,ORD,2023-11-03 17:09:00,2023-11-03 19:40:00,United Airlines,2:31:00,1090,Airbus A380,134
FL-559375,FRA,IST,2023-09-13 19:06:00,2023-09-13 22:12:00,Alitalia,3:06:00,2901,Airbus A330,220
FL-833703,SYD,YXU,2023-09-18 08:10:00,2023-09-18 11:17:00,Thai Airways,3:07:00,758,McDonnell Douglas MD-88,169
FL-507099,MEX,YYZ,2023-09-14 08:16:00,2023-09-14 11:02:00,Emirates,2:46:00,2049,Bombardier CRJ900,120
FL-854542,PEK,SIN,2023-10-15 21:33:00,2023-10-16 03:56:00,American Airlines,6:23:00,628,Embraer E190,187
